,Experiment,Model,Metric/Class,Hyperparameters,Performance
10,overall,LogisticRegression,recall,"{""C"": 1000000000.0, ""max_iter"": 90, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.01}",0.7806161515893499
11,overall,LogisticRegression,f1-score,"{""C"": 1000000000.0, ""max_iter"": 90, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.01}",0.7842177124693449
12,overall,SVC,accuracy,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.8433333333333334
13,overall,SVC,precision,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.8038564946706147
14,overall,SVC,recall,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.7838897050713609
15,overall,SVC,f1-score,"{""C"": 1, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.7888605851373367
16,overall,DecisionTreeClassifier,accuracy,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.8166666666666667
17,overall,DecisionTreeClassifier,precision,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7596790157593372
18,overall,DecisionTreeClassifier,recall,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7457055345995192
19,overall,DecisionTreeClassifier,f1-score,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7502632198941115
20,overall,RandomForestClassifier,accuracy,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.845
21,overall,RandomForestClassifier,precision,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8049669477912549
22,overall,RandomForestClassifier,recall,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.7717572629210508
